,CVE_DOC,CVE_ART,MARGEN_TOTAL_CALCULADO
381,F37746,BN00250,398.97
382,F37746,BN00251,177.14
383,F37750,BP00149,5946.37
384,F37750,BP00150,4187.27
385,F37751,BE00011,1485.18
386,F37751,BE00012,1509.16
387,F37751,BE00013,1547.6
388,F37751,BE00015,1576.68
389,F37752,TP0003,118.15
390,F37753,BB1 1/2X1/2-300W,215.0
391,F37755,TUS00116,462.68
392,F37756,TUS00118,946.57
393,F37757,TP0015,531.5
394,F37758,TUE00319,61844.32
395,F37760,151.7208,773.87
396,F37761,TUA00096,790.77
397,F37764,TP0024,349.53
398,F37770,TP0022,452.14
399,F37772,TUE00025,1235.32
400,F37774,MA00016,532.1
401,F37775,RP00180,363.93
402,F37776,RP00171,761.79
403,F37777,BOBINA001,57511.19
404,F37785,BB1 1/2X1/2-300W,225.0
405,F37787,TUA00219,12786.35
406,F37788,TUS00020,5682.56
407,F37791,TUA00434,811.12
408,F37802,CS12F1040A00,2841.3
409,F37802,CS12H1050A00,3332.32
410,F37803,ECQ-00972,27730.12
411,F37803,ECQ-01444,2316.77
412,F37804,ECQ-00972,11185.47
413,F37804,ECQ-01444,6786.45
414,F37805,TP00019,6910.26
415,F37807,TUE00162,2764.98
416,F37808,TUE00348,8612.27
417,F37813,TUE00105,3650.1
418,F37814,TUS00035,1706.29
419,F37817,GAB00014,19370.94
420,F37817,TUA00376,8403.47
421,F37818,TP0040,298.24
422,F37824,TP0001,77.3
423,F37827,BP00251,521.36
424,F37827,BP00252,453.64
425,F37827,BP00253,521.36
426,F37827,BP00254,439.11
427,F37827,BP00255,505.63
428,F37827,BP00256,487.63
429,F37829,RP00187,771.84
430,F37830,TUS00002,1796.93
431,F37831,TUS00001,2188.54
432,F37832,TUE00081,1919.29
433,F37834,TUA00175,7929.63
434,F37835,TUS00117,940.45
435,F37836,BC00010,4079.35
436,F37841,RP00150,2999.28
437,F37842,BB1 1/2X1/2-300W,215.0
438,F37843,MR01934,3107.2
439,F37844,BN00064,715.91
440,F37845,TP0026,244.17
441,F37852,TUS00017,2669.0
442,F37852,TUS00018,1581.18
443,F37853,TP0002,102.09
444,F37854,E1041959,18.53
445,F37858,BC00006,2849.29
446,F37858,P231A1D6K200,1737.47
447,F37860,65014-38,3664.66
448,F37863,TUA00435,2470.66
449,F37866,CM10E2050A00,464.26
450,F37872,TUA00420,4198.19
451,F37876,EE00026,93.16
452,F37876,TU5/16X203V,328.13
453,F37878,TP0011,681.2
454,F37878,TP0012,259.46
455,F37880,TUA00017,1961.87
456,F37882,TJ00046,703.93
457,F37882,TP0024,114.51
458,F37883,TUE00342,1602.62
459,F37884,TUE00103,2202.7
460,F37888,PJ14F10B0600,1234.27
461,F37888,PJ14J10B0600,600.22
462,F37892,TUA00148,1723.65
463,F37898,TUE00132,832.79
464,F37899,P114Q1H90412,5041.55
465,F37900,TUS00119,478.79
466,F37903,TUA00087,8299.56
467,F37906,TUE00345,987.6
468,F37908,TUE00248,3716.18
469,F37909,TJ00090,463.56
470,F37910,TUE00351,791.24
471,F37910,TUE00352,791.24
472,F37912,E1041968,1324.37
473,F37914,RP00183,899.4
474,F37919,RP00137,551.92
475,F37922,TUA00124,2773.83
476,F37925,TP0012,1037.84
477,F37927,TUE00207,4485.26
478,F37929,RC00027,637.02
479,F37933,TUE00172,19950.17
480,F37937,PT00082,2822.4
481,F37938,TP0002,154.86
482,F37939,TUE00350,811.34
483,F37941,BN00252,856.14
484,F37942,TUA00436,2457.79
485,F37943,CAE00039,1373.9
486,F37944,TEA00099,2914.83
